,zipcode,name,population,median_income,White,African American,gini_index,labor_participation,unemployment,poverty_rate
81,60124,ZCTA5 60124,21739,103466,17275,1285,0.3880,64.6,3.8,3.7
82,60126,ZCTA5 60126,48269,103454,42980,744,0.4759,66.8,5.8,2.9
83,60129,ZCTA5 60129,214,67500,214,0,0.4560,68.5,8.0,16.1
84,60130,ZCTA5 60130,14127,55359,7720,4541,0.4697,69.8,11.3,5.1
85,60131,ZCTA5 60131,18070,60163,14050,45,0.3791,69.4,5.5,6.6
86,60133,ZCTA5 60133,38479,70550,20570,2933,0.3544,73.5,4.3,9.0
87,60134,ZCTA5 60134,29279,110691,28162,37,0.3978,67.9,3.8,4.8
88,60135,ZCTA5 60135,6723,62695,6346,45,0.4283,67.0,4.5,6.4
89,60136,ZCTA5 60136,7638,105087,5310,597,0.2750,85.6,0.0,0.0
90,60137,ZCTA5 60137,38280,103217,33120,1078,0.4821,67.7,6.1,3.4
91,60139,ZCTA5 60139,34547,62697,19506,2382,0.3703,74.8,6.0,9.2
92,60140,ZCTA5 60140,16707,86767,15301,31,0.4209,70.9,0.1,3.7
93,60141,ZCTA5 60141,209,-,119,87,-,12.4,0.0,-
94,60142,ZCTA5 60142,27886,77101,25469,412,0.3841,57.7,3.4,2.1
95,60143,ZCTA5 60143,10623,87117,9479,210,0.4117,70.7,1.5,2.4
96,60144,ZCTA5 60144,78,64583,57,0,0.2044,59.1,0.0,0.0
97,60145,ZCTA5 60145,2933,80188,2787,23,0.3420,69.5,4.0,11.2
98,60146,ZCTA5 60146,2584,59240,2469,0,0.3934,67.1,8.4,5.5
99,60148,ZCTA5 60148,52516,75250,41568,2934,0.4041,68.4,5.7,4.7
100,60150,ZCTA5 60150,1666,64464,1626,10,0.4024,73.7,3.4,9.5
101,60151,ZCTA5 60151,4203,82269,4048,44,0.3798,72.9,3.9,2.2
102,60152,ZCTA5 60152,12534,78936,11906,111,0.3966,65.7,7.6,8.7
103,60153,ZCTA5 60153,23981,47538,3780,16611,0.4279,66.7,12.5,14.9
104,60154,ZCTA5 60154,16750,76408,11326,2962,0.4125,64.7,5.4,4.5
105,60155,ZCTA5 60155,7892,53100,1547,5949,0.4106,67.0,12.7,2.9
106,60156,ZCTA5 60156,28867,87647,25555,678,0.3433,77.3,1.3,3.6
107,60157,ZCTA5 60157,2495,101875,2276,9,0.4244,68.5,3.5,1.3
108,60160,ZCTA5 60160,25559,47759,14798,1615,0.4191,68.3,6.9,16.4
109,60162,ZCTA5 60162,8159,52367,2849,3524,0.4235,64.7,4.5,10.1
110,60163,ZCTA5 60163,5197,68750,2463,1708,0.3968,65.4,1.8,4.1
111,60164,ZCTA5 60164,21503,56738,16099,620,0.3919,64.6,4.1,10.0
112,60165,ZCTA5 60165,4949,41512,2369,119,0.4129,63.8,4.7,12.8
113,60169,ZCTA5 60169,33965,72002,16828,1882,0.3836,73.5,4.7,5.3
114,60171,ZCTA5 60171,10232,46910,8733,160,0.4229,67.9,4.3,10.7
115,60172,ZCTA5 60172,24848,81172,20733,1120,0.3757,74.2,2.3,3.6
116,60173,ZCTA5 60173,12490,79024,5829,478,0.3836,79.1,6.6,4.2
117,60174,ZCTA5 60174,31596,81667,27414,527,0.4619,66.7,3.3,3.8
118,60175,ZCTA5 60175,25833,138006,24112,441,0.3974,67.0,3.8,1.6
119,60176,ZCTA5 60176,11779,55999,9307,171,0.3921,69.7,5.3,11.0
120,60177,ZCTA5 60177,23392,89500,19573,934,0.3761,75.7,4.1,4.5
121,60178,ZCTA5 60178,22304,73672,20365,665,0.3854,70.0,10.5,6.2
122,60180,ZCTA5 60180,2056,52500,2051,5,0.4355,60.8,20.6,18.1
123,60181,ZCTA5 60181,28748,70276,22051,1705,0.4162,68.4,4.0,7.2
124,60184,ZCTA5 60184,2433,132989,2288,6,0.4951,64.0,7.5,0.8
125,60185,ZCTA5 60185,36242,75093,29064,621,0.4201,70.9,3.6,7.3
126,60187,ZCTA5 60187,29454,97343,26080,1174,0.4585,63.8,4.9,3.4
127,60188,ZCTA5 60188,42876,78738,30031,2684,0.3905,73.1,5.3,5.3
128,60189,ZCTA5 60189,30704,95787,26383,1162,0.4675,70.6,4.2,2.5
129,60190,ZCTA5 60190,11137,104468,10193,215,0.3977,69.1,1.8,1.8
130,60191,ZCTA5 60191,14365,67329,11366,215,0.4169,69.2,6.8,7.3
131,60192,ZCTA5 60192,16026,122892,10059,263,0.3898,71.3,0.4,0.8
132,60193,ZCTA5 60193,40317,78995,29837,1289,0.3860,69.1,6.3,4.4
133,60194,ZCTA5 60194,18649,73538,11463,763,0.4147,70.4,7.8,5.9
134,60195,ZCTA5 60195,4970,82755,2314,84,0.3751,74.9,9.7,4.3
135,60201,ZCTA5 60201,42880,75401,29405,5675,0.5630,54.7,9.9,5.4
136,60202,ZCTA5 60202,32677,74532,21075,7095,0.4887,71.5,3.1,6.3
137,60203,ZCTA5 60203,4199,110950,2989,414,0.4736,69.7,16.5,0.4
138,60301,ZCTA5 60301,2555,74632,1494,614,0.4607,69.7,7.8,3.3
139,60302,ZCTA5 60302,32096,83145,21881,6569,0.5205,70.2,11.9,5.9
140,60304,ZCTA5 60304,17578,100842,12457,3153,0.4120,74.1,11.3,2.8
141,60305,ZCTA5 60305,11215,106947,9239,747,0.5498,63.7,7.8,3.6
142,60401,ZCTA5 60401,7625,64684,7312,22,0.3837,58.9,1.7,7.3
143,60402,ZCTA5 60402,63963,60045,40087,3474,0.4019,67.8,7.7,9.2
144,60403,ZCTA5 60403,18157,54083,12909,3208,0.3907,57.5,3.2,7.8
145,60404,ZCTA5 60404,18587,97959,16012,888,0.4159,67.9,5.1,2.7
146,60406,ZCTA5 60406,24909,40765,10695,6631,0.4410,66.4,12.1,17.7
147,60407,ZCTA5 60407,1753,59537,1699,0,0.3523,66.5,6.8,10.5
148,60408,ZCTA5 60408,5549,63372,5452,20,0.3754,70.4,8.3,9.6
149,60409,ZCTA5 60409,37190,42429,7588,28433,0.4282,66.7,14.8,19.5
150,60410,ZCTA5 60410,12619,87020,11791,157,0.3248,71.7,6.6,4.2
151,60411,ZCTA5 60411,58374,43378,18171,30132,0.4735,62.6,12.6,19.8
152,60415,ZCTA5 60415,14338,44221,11667,1552,0.4214,61.0,7.9,22.8
153,60416,ZCTA5 60416,9122,71154,8732,158,0.3865,72.4,3.0,7.9
154,60417,ZCTA5 60417,15516,67452,10776,3774,0.4199,58.9,8.7,5.1
155,60419,ZCTA5 60419,22810,44039,1416,20742,0.4502,64.4,15.9,22.3
156,60420,ZCTA5 60420,5154,58676,4823,219,0.3988,55.7,2.2,8.3
157,60421,ZCTA5 60421,3828,80156,3641,88,0.3650,60.8,8.3,2.6
158,60422,ZCTA5 60422,9821,103023,4088,5484,0.4248,61.0,10.4,3.4
159,60423,ZCTA5 60423,31049,100098,27756,1431,0.3907,69.0,4.6,3.1
160,60424,ZCTA5 60424,2337,57031,2277,12,0.4417,64.8,5.7,6.4
161,60425,ZCTA5 60425,8998,54760,2295,6108,0.3971,60.0,13.7,10.3
162,60426,ZCTA5 60426,29784,25705,4918,21445,0.5333,50.9,10.4,27.9
163,60428,ZCTA5 60428,12344,35807,1720,9888,0.4750,53.9,8.0,20.0
164,60429,ZCTA5 60429,15532,54420,2261,13137,0.4716,63.0,10.3,12.2
165,60430,ZCTA5 60430,19835,72715,10900,7327,0.3941,65.3,4.2,5.2
166,60431,ZCTA5 60431,23843,90903,18935,2535,0.3587,72.1,2.1,3.4
167,60432,ZCTA5 60432,20222,38191,9275,4340,0.4171,62.2,7.2,23.8
168,60433,ZCTA5 60433,17259,45792,8930,5816,0.4172,64.7,7.2,14.8
169,60435,ZCTA5 60435,49835,52102,32964,8227,0.4091,68.3,8.2,12.1
170,60436,ZCTA5 60436,18711,53409,11042,4338,0.4134,62.9,3.4,15.1
171,60437,ZCTA5 60437,156,41429,156,0,0.5786,52.2,0.0,13.3
172,60438,ZCTA5 60438,28961,48054,15110,11185,0.4373,62.8,10.0,12.9
173,60439,ZCTA5 60439,23700,91235,22168,352,0.4258,65.0,4.5,4.7
174,60440,ZCTA5 60440,52791,72403,24521,11210,0.3922,71.7,5.4,8.0
175,60441,ZCTA5 60441,35662,75175,30322,2992,0.3889,66.6,5.3,5.5
176,60442,ZCTA5 60442,10360,91702,10059,20,0.3146,72.8,4.6,1.8
177,60443,ZCTA5 60443,21422,77925,4676,16084,0.4343,69.7,8.4,9.0
178,60444,ZCTA5 60444,1671,73875,1635,0,0.4033,69.8,4.0,10.4
179,60445,ZCTA5 60445,26258,58036,22116,1919,0.3805,63.8,8.4,4.7
180,60446,ZCTA5 60446,39950,72739,23356,4243,0.3326,70.1,2.4,5.4
181,60447,ZCTA5 60447,14097,78516,13009,166,0.3635,71.8,6.3,6.6
182,60448,ZCTA5 60448,25704,100265,24150,345,0.3653,69.8,3.8,1.9
183,60449,ZCTA5 60449,9516,83095,7361,1383,0.3446,67.2,4.0,1.0
184,60450,ZCTA5 60450,20650,66495,19777,289,0.4337,61.6,4.2,7.3
185,60451,ZCTA5 60451,35282,105146,33988,242,0.3758,71.9,2.2,1.9
186,60452,ZCTA5 60452,28459,73356,24796,1479,0.3823,69.9,3.6,5.0
187,60453,ZCTA5 60453,56754,61398,45607,3768,0.4083,62.3,6.3,7.3
188,60455,ZCTA5 60455,16552,54075,13906,566,0.4308,63.0,5.7,15.0
189,60456,ZCTA5 60456,4344,45926,4119,18,0.3676,62.6,8.5,10.3
190,60457,ZCTA5 60457,13852,63865,12847,442,0.4286,61.8,6.8,9.2
191,60458,ZCTA5 60458,15139,47411,10834,2809,0.4342,70.2,8.2,17.0
192,60459,ZCTA5 60459,29040,55960,23937,937,0.4059,62.7,6.5,9.2
193,60460,ZCTA5 60460,1280,61635,1278,0,0.4420,68.7,2.9,4.7
194,60461,ZCTA5 60461,4840,98449,1018,3641,0.3653,56.9,7.0,0.9
195,60462,ZCTA5 60462,40120,82986,35352,1670,0.4321,64.3,5.2,3.6
196,60463,ZCTA5 60463,14904,80401,13946,295,0.4393,57.1,5.4,3.2
197,60464,ZCTA5 60464,9618,78486,9030,42,0.4748,57.3,5.2,4.0
198,60465,ZCTA5 60465,17570,57956,15724,764,0.4142,63.9,5.7,7.9
199,60466,ZCTA5 60466,22036,50535,6331,14180,0.4257,61.4,9.6,11.8
200,60467,ZCTA5 60467,27076,96474,24486,416,0.4445,61.1,4.6,2.2
201,60468,ZCTA5 60468,6039,81595,5852,12,0.3524,72.8,8.7,0.6
202,60469,ZCTA5 60469,6010,37885,4232,806,0.4722,57.0,4.0,28.4
203,60470,ZCTA5 60470,592,78542,590,0,0.3781,77.1,0.0,4.9
204,60471,ZCTA5 60471,14086,50896,1575,11903,0.4365,63.3,15.9,18.7
205,60472,ZCTA5 60472,5055,30064,264,4667,0.4776,43.0,7.7,20.5
206,60473,ZCTA5 60473,22414,61353,4191,17451,0.4039,64.2,9.3,11.3
207,60474,ZCTA5 60474,925,66094,914,0,0.3582,60.6,1.3,3.3
208,60475,ZCTA5 60475,9738,44846,6572,2246,0.4320,67.3,8.7,12.4
209,60476,ZCTA5 60476,2583,56171,2024,394,0.4028,66.6,6.5,7.3
210,60477,ZCTA5 60477,38075,65183,32757,1785,0.3820,67.1,4.5,8.5
211,60478,ZCTA5 60478,17173,57358,1970,14822,0.3885,66.4,19.5,9.0
212,60479,ZCTA5 60479,795,75625,788,0,0.3606,59.0,6.0,8.4
213,60480,ZCTA5 60480,5210,86010,4465,121,0.4741,67.3,3.5,0.7
214,60481,ZCTA5 60481,11699,59145,11115,70,0.4143,59.0,5.4,10.7
215,60482,ZCTA5 60482,11013,52050,10110,208,0.4082,60.8,6.6,8.6
216,60484,ZCTA5 60484,6673,49562,510,5819,0.4186,59.9,9.2,9.0
217,60487,ZCTA5 60487,26877,99455,22821,930,0.3681,71.1,2.5,3.5
218,60490,ZCTA5 60490,21757,116943,11242,3114,0.3480,75.0,4.4,4.0
219,60491,ZCTA5 60491,22775,96600,21519,230,0.3931,66.4,4.7,2.6
220,60501,ZCTA5 60501,12002,50088,8219,852,0.4068,64.3,11.0,16.0
221,60502,ZCTA5 60502,22742,109764,15483,1820,0.4061,78.1,2.8,2.0
222,60503,ZCTA5 60503,17101,106706,11258,1268,0.3302,80.9,2.4,2.0
223,60504,ZCTA5 60504,37867,77507,24312,4655,0.3967,74.3,5.2,7.2
224,60505,ZCTA5 60505,78312,47929,34976,6543,0.4080,69.1,6.4,16.8
225,60506,ZCTA5 60506,53582,60988,32775,6575,0.4268,66.8,5.5,10.8
226,60510,ZCTA5 60510,29652,93750,27114,611,0.4373,69.6,13.0,3.0
227,60511,ZCTA5 60511,1649,93064,1618,6,0.3463,65.0,10.5,4.8
228,60512,ZCTA5 60512,1744,57927,1406,0,0.3866,65.1,19.2,24.5
229,60513,ZCTA5 60513,18955,78380,15933,1058,0.4203,68.3,6.6,6.4
230,60514,ZCTA5 60514,10061,103886,8857,128,0.5521,64.0,3.4,6.4
231,60515,ZCTA5 60515,28323,83694,25794,471,0.4786,66.2,3.1,4.1
232,60516,ZCTA5 60516,29006,87513,24957,1251,0.4158,66.6,2.7,2.6
233,60517,ZCTA5 60517,32456,79986,23884,2711,0.4058,74.3,3.5,4.7
234,60518,ZCTA5 60518,3456,55602,3383,9,0.4206,62.8,3.1,8.6
235,60519,ZCTA5 60519,40,-,40,0,0.1214,79.4,0.0,0.0
236,60520,ZCTA5 60520,2764,70161,2611,17,0.4036,72.3,5.4,7.2
237,60521,ZCTA5 60521,18352,166936,15864,214,0.5167,58.5,6.3,3.2
238,60523,ZCTA5 60523,10006,101182,6792,393,0.5744,46.1,0.0,2.2
239,60525,ZCTA5 60525,31295,79926,27765,1506,0.4968,63.5,8.8,5.1
240,60526,ZCTA5 60526,13559,90322,12393,628,0.4525,65.5,9.8,4.0
241,60527,ZCTA5 60527,27728,85955,20716,1870,0.5328,61.3,5.9,6.1
242,60530,ZCTA5 60530,490,58438,454,12,0.5248,61.2,11.3,10.7
243,60531,ZCTA5 60531,1712,67536,1683,0,0.3961,64.2,1.8,1.9
244,60532,ZCTA5 60532,27831,80914,21910,1280,0.4404,71.0,4.5,2.3
245,60534,ZCTA5 60534,10581,47409,8456,473,0.4069,63.9,2.4,11.5
246,60536,ZCTA5 60536,152,61250,150,0,0.3486,61.0,21.4,14.7
247,60537,ZCTA5 60537,664,66250,664,0,0.4213,71.7,15.3,11.4
248,60538,ZCTA5 60538,28117,76232,21958,1556,0.3610,74.1,3.7,3.1
249,60539,ZCTA5 60539,321,-,151,3,-,61.3,-,-
250,60540,ZCTA5 60540,44925,112360,35735,1415,0.4430,66.6,7.1,2.9
251,60541,ZCTA5 60541,3518,81382,3430,17,0.3737,67.4,2.2,4.3
252,60542,ZCTA5 60542,17727,83702,13797,1023,0.4331,73.6,5.2,2.6
253,60543,ZCTA5 60543,39859,98610,32615,2597,0.3282,74.7,6.8,1.5
254,60544,ZCTA5 60544,26098,73710,21384,1960,0.4040,66.3,2.2,4.2
255,60545,ZCTA5 60545,13288,65138,11434,1129,0.3797,75.1,5.5,12.8
256,60546,ZCTA5 60546,15887,74707,13752,521,0.4946,66.4,5.7,6.9
257,60548,ZCTA5 60548,11893,66911,11185,1,0.3660,69.0,1.9,3.0
258,60549,ZCTA5 60549,397,-,397,0,0.4804,43.2,36.4,49.4
259,60550,ZCTA5 60550,1700,54837,1608,86,0.3812,60.9,3.3,9.2
260,60551,ZCTA5 60551,5680,66188,4431,1123,0.4008,45.7,5.5,3.2
261,60552,ZCTA5 60552,4696,77500,4570,11,0.3383,69.2,5.3,2.3
262,60553,ZCTA5 60553,739,68958,699,26,0.4752,69.8,0.0,7.5
263,60554,ZCTA5 60554,12063,106182,11049,619,0.3681,69.3,2.3,3.9
264,60555,ZCTA5 60555,13650,84960,11072,667,0.3820,76.2,8.1,5.1
265,60556,ZCTA5 60556,1827,72340,1769,3,0.3563,69.8,2.3,2.5
266,60557,ZCTA5 60557,68,-,68,0,0.1034,0.0,-,0.0
267,60558,ZCTA5 60558,13187,150880,12797,99,0.4489,66.7,7.9,1.1
268,60559,ZCTA5 60559,24901,63044,18610,1643,0.4840,68.1,5.8,8.5
269,60560,ZCTA5 60560,24190,98665,20871,1475,0.3852,72.2,3.5,3.7
270,60561,ZCTA5 60561,23218,86610,18664,637,0.4401,64.8,3.8,3.6
271,60563,ZCTA5 60563,37226,84040,27029,2725,0.4280,69.8,5.6,3.5
272,60564,ZCTA5 60564,42099,143084,27776,2625,0.3793,70.2,2.5,2.9
273,60565,ZCTA5 60565,40717,124716,30773,1521,0.3962,70.6,4.7,3.5
274,60585,ZCTA5 60585,23521,125967,18938,1304,0.3130,76.4,2.2,1.2
275,60586,ZCTA5 60586,47369,95638,36656,4268,0.3235,76.5,3.3,2.3
276,60601,ZCTA5 60601,13887,110215,10384,1148,0.5131,70.3,6.1,2.7
277,60602,ZCTA5 60602,1277,115774,976,11,0.5078,78.8,5.1,0.0
278,60603,ZCTA5 60603,1197,140114,706,27,0.6100,65.6,0.0,0.0
279,60604,ZCTA5 60604,668,114565,418,42,0.5607,74.5,0.0,10.7
280,60605,ZCTA5 60605,26188,107811,15813,4631,0.5156,75.0,6.7,3.8
281,60606,ZCTA5 60606,2959,139179,2235,76,0.4713,86.6,0.0,8.3
282,60607,ZCTA5 60607,28928,92240,17396,3681,0.4797,73.1,9.7,6.8
283,60608,ZCTA5 60608,78877,41226,37203,14147,0.4676,56.5,8.2,20.0
284,60609,ZCTA5 60609,60994,33959,29002,14628,0.4624,62.6,13.1,26.6
285,60610,ZCTA5 60610,39345,81576,28847,6720,0.5496,74.8,4.0,7.4
286,60611,ZCTA5 60611,32198,96040,24530,1069,0.5447,67.2,3.1,4.4
287,60612,ZCTA5 60612,35332,38756,9055,21980,0.5504,60.7,13.3,26.6
288,60613,ZCTA5 60613,50553,79565,42148,2910,0.4991,82.0,3.1,4.3
289,60614,ZCTA5 60614,70225,100116,59686,3018,0.5200,78.3,3.2,3.9
290,60615,ZCTA5 60615,40595,41679,11727,22898,0.5595,62.4,14.3,13.3
291,60616,ZCTA5 60616,53331,46340,14923,13568,0.5103,63.6,5.7,21.8
292,60617,ZCTA5 60617,81227,38417,30899,45555,0.4573,59.0,14.7,19.5
293,60618,ZCTA5 60618,95218,66246,76981,2347,0.4879,73.4,7.9,9.9
294,60619,ZCTA5 60619,62992,32558,955,60687,0.4946,58.7,14.1,22.7
295,60620,ZCTA5 60620,69195,33304,1100,66537,0.4839,55.9,16.6,23.4
296,60621,ZCTA5 60621,30496,19845,605,29020,0.5355,50.3,22.2,42.7
297,60622,ZCTA5 60622,53680,87143,41132,3778,0.4791,82.0,5.4,10.3
298,60623,ZCTA5 60623,88586,31445,35630,28401,0.4399,57.8,13.4,32.3
299,60624,ZCTA5 60624,37665,22467,1320,34773,0.5407,48.0,12.7,38.2
300,60625,ZCTA5 60625,80676,63106,53120,3981,0.4671,72.8,5.6,12.2
301,60626,ZCTA5 60626,49416,39163,29833,12193,0.4955,70.9,7.7,18.2
302,60628,ZCTA5 60628,67942,38206,2889,63906,0.4826,58.0,17.3,22.3
303,60629,ZCTA5 60629,114129,41856,43074,22536,0.4296,66.1,12.7,18.0
304,60630,ZCTA5 60630,57531,70122,41735,853,0.4153,67.2,5.5,7.7
305,60631,ZCTA5 60631,29566,82226,26682,295,0.4579,65.6,2.6,3.2
306,60632,ZCTA5 60632,91644,42335,46484,1617,0.4124,65.1,7.7,19.1
307,60633,ZCTA5 60633,13202,50164,9553,2861,0.4458,61.5,9.2,14.5
308,60634,ZCTA5 60634,74901,62223,60005,1086,0.4209,66.9,5.1,7.7
309,60636,ZCTA5 60636,34461,27573,937,31378,0.4887,52.9,20.7,30.1
310,60637,ZCTA5 60637,48006,28024,7646,36821,0.6170,53.7,15.3,33.6
311,60638,ZCTA5 60638,58990,67045,43130,1984,0.3975,65.5,7.6,6.3
312,60639,ZCTA5 60639,90767,41307,33698,12024,0.4268,66.2,6.2,21.4
313,60640,ZCTA5 60640,68258,50488,44210,11877,0.5137,71.1,6.7,15.3
314,60641,ZCTA5 60641,69954,56488,46882,1685,0.4443,69.9,4.3,11.5
315,60642,ZCTA5 60642,19488,92797,13781,1756,0.4362,85.3,12.5,7.5
316,60643,ZCTA5 60643,51028,59488,11458,37272,0.4815,59.0,9.6,12.6
317,60644,ZCTA5 60644,49051,27617,1921,45059,0.4978,51.8,11.8,27.9
318,60645,ZCTA5 60645,48269,50589,27541,8528,0.4873,62.7,4.2,16.3
319,60646,ZCTA5 60646,27865,86534,23611,246,0.4886,62.9,2.8,3.6
320,60647,ZCTA5 60647,87707,68223,66653,5901,0.4891,75.8,5.1,13.7
321,60649,ZCTA5 60649,44223,24941,1595,41337,0.5603,57.7,18.1,31.5
322,60651,ZCTA5 60651,61828,36283,9164,32826,0.4714,59.6,9.3,26.3
323,60652,ZCTA5 60652,43582,65770,11459,20510,0.3788,67.7,8.2,9.3
324,60653,ZCTA5 60653,31820,28411,1747,28674,0.5723,62.0,17.7,31.7
325,60654,ZCTA5 60654,18148,104629,14358,833,0.4875,85.6,4.2,0.0
326,60655,ZCTA5 60655,28972,94524,25846,2031,0.3562,67.3,3.1,2.3
327,60656,ZCTA5 60656,26896,60575,22794,246,0.4330,66.1,7.1,6.7
328,60657,ZCTA5 60657,70103,88708,60743,2021,0.4959,83.1,5.5,2.8
329,60659,ZCTA5 60659,40442,50554,22090,3428,0.4344,67.3,7.5,17.0
330,60660,ZCTA5 60660,42068,45442,28647,5517,0.4866,68.8,7.1,11.1
331,60661,ZCTA5 60661,9697,104714,5816,398,0.4391,81.0,4.3,6.3
332,60706,ZCTA5 60706,23541,58809,21277,151,0.4397,59.2,8.5,7.3
333,60707,ZCTA5 60707,43250,55566,31485,3834,0.4567,65.2,5.0,10.2
334,60712,ZCTA5 60712,12637,93226,7841,315,0.4332,54.6,3.8,5.6
335,60714,ZCTA5 60714,29911,58298,22411,1010,0.4365,54.8,3.9,8.1
336,60803,ZCTA5 60803,22362,51439,15408,4239,0.3951,66.6,6.8,6.9
337,60804,ZCTA5 60804,83735,44110,35029,3087,0.3962,65.9,6.0,17.3
338,60805,ZCTA5 60805,19796,67482,13768,4902,0.4041,66.9,4.2,5.5
339,60827,ZCTA5 60827,28856,31008,1409,26341,0.5397,61.7,17.7,29.7
340,60901,ZCTA5 60901,35687,45542,22975,10491,0.4670,58.9,4.6,19.8
341,60910,ZCTA5 60910,568,50764,506,33,0.3354,58.2,16.0,6.1
342,60911,ZCTA5 60911,1422,61938,1382,21,0.4019,73.7,3.3,3.7
343,60912,ZCTA5 60912,421,36563,405,1,0.3881,53.0,1.8,11.3
344,60913,ZCTA5 60913,1478,66800,1351,29,0.3584,62.2,7.2,3.0
345,60914,ZCTA5 60914,29273,65924,25050,2872,0.4135,64.8,4.3,8.2
346,60915,ZCTA5 60915,10122,55789,9211,353,0.3437,67.9,5.0,7.8
347,60917,ZCTA5 60917,550,75388,544,0,0.2472,65.8,4.3,5.1
348,60918,ZCTA5 60918,777,57667,762,6,0.4158,65.7,4.8,9.1
349,60919,ZCTA5 60919,510,65167,507,0,0.4309,58.0,1.1,13.6
350,60920,ZCTA5 60920,150,44444,150,0,0.3600,65.8,2.7,24.4
351,60921,ZCTA5 60921,1369,39500,1128,0,0.4303,56.1,9.9,17.6
352,60922,ZCTA5 60922,2107,63641,1948,36,0.4066,65.0,10.5,15.8
353,60924,ZCTA5 60924,1521,52951,1501,5,0.4508,59.3,6.6,7.9
354,60926,ZCTA5 60926,26,-,24,0,0.2969,73.1,0.0,0.0
355,60927,ZCTA5 60927,2173,56705,2120,0,0.4311,62.6,0.8,4.4
356,60928,ZCTA5 60928,783,52500,768,0,0.3167,71.6,0.0,3.0
357,60929,ZCTA5 60929,925,51500,809,0,0.3866,59.6,4.2,21.1
358,60930,ZCTA5 60930,942,63250,916,5,0.3533,51.4,4.2,4.1
359,60931,ZCTA5 60931,562,61458,524,4,0.3668,60.7,6.8,12.7
360,60932,ZCTA5 60932,77,102875,77,0,0.2027,73.0,0.0,0.0
361,60933,ZCTA5 60933,259,55417,259,0,0.3535,61.6,12.8,4.9
362,60934,ZCTA5 60934,256,32500,239,17,0.3139,52.8,0.0,4.0
363,60935,ZCTA5 60935,1200,70052,1176,7,0.3666,59.9,0.9,6.9
364,60936,ZCTA5 60936,4067,43929,3965,28,0.4320,62.2,2.1,14.0
365,60938,ZCTA5 60938,1994,52432,1698,12,0.3929,62.4,5.8,11.7
366,60940,ZCTA5 60940,3619,70965,3521,1,0.3690,62.7,6.8,3.1
367,60941,ZCTA5 60941,2023,70500,1978,8,0.4469,60.0,4.5,3.3
368,60942,ZCTA5 60942,5858,42298,5448,131,0.4717,59.1,3.0,17.8
369,60945,ZCTA5 60945,154,49844,144,7,0.2953,46.0,0.0,0.0
370,60946,ZCTA5 60946,398,64167,381,0,0.4518,60.4,0.0,0.0
371,60948,ZCTA5 60948,1473,73239,1361,32,0.4368,61.2,12.8,4.6
372,60949,ZCTA5 60949,570,46750,519,36,0.3765,59.9,0.0,13.1
373,60950,ZCTA5 60950,11899,60625,11251,275,0.3965,63.6,4.9,5.9
374,60951,ZCTA5 60951,851,69659,840,7,0.4061,66.1,2.1,12.2
375,60952,ZCTA5 60952,714,53636,694,0,0.4384,63.3,3.3,19.9
376,60953,ZCTA5 60953,2483,46161,2285,0,0.4138,60.6,5.9,9.3
377,60954,ZCTA5 60954,5814,62670,4989,473,0.4048,53.0,4.7,3.4
378,60955,ZCTA5 60955,1648,50650,1390,11,0.4454,65.0,2.2,12.5
379,60957,ZCTA5 60957,5355,53186,5137,90,0.3987,61.2,3.4,9.4
380,60958,ZCTA5 60958,2114,26607,347,1662,0.5072,45.2,14.1,22.2
381,60959,ZCTA5 60959,1091,53828,1043,0,0.3896,64.9,5.0,12.5
382,60960,ZCTA5 60960,1090,50000,1058,10,0.4036,57.8,2.8,7.9
383,60961,ZCTA5 60961,755,68409,722,0,0.4868,62.5,7.9,1.0
384,60962,ZCTA5 60962,598,40865,582,4,0.3785,60.0,0.0,18.1
385,60963,ZCTA5 60963,1914,51549,1877,4,0.3904,62.5,2.8,5.7
386,60964,ZCTA5 60964,5202,55625,4364,607,0.3661,62.0,2.8,7.9
387,60966,ZCTA5 60966,1649,39496,1569,21,0.4455,64.4,4.7,19.4
388,60968,ZCTA5 60968,327,55000,293,0,0.5092,68.2,2.3,5.0
389,60969,ZCTA5 60969,53,65625,53,0,0.1650,79.3,0.0,9.1
390,60970,ZCTA5 60970,7034,38290,6533,181,0.4475,57.5,3.0,15.4
391,60973,ZCTA5 60973,435,55550,401,0,0.3748,65.3,4.6,14.9
392,60974,ZCTA5 60974,331,43333,317,6,0.3364,58.5,0.0,4.3
393,61001,ZCTA5 61001,943,53333,917,2,0.4377,51.9,7.0,9.3
394,61006,ZCTA5 61006,1795,54808,1655,3,0.3348,67.0,5.5,14.1
395,61007,ZCTA5 61007,496,54063,491,0,0.5020,54.2,0.0,0.0
396,61008,ZCTA5 61008,34628,58654,29594,727,0.4308,65.8,6.7,8.5
397,61010,ZCTA5 61010,7930,73333,7654,41,0.4017,71.0,2.2,2.4
398,61011,ZCTA5 61011,2290,94271,2071,19,0.3975,64.9,4.1,0.0
399,61012,ZCTA5 61012,2464,59152,2213,2,0.4189,70.6,4.5,11.6
400,61013,ZCTA5 61013,431,57222,420,8,0.3187,63.9,2.3,4.1
401,61014,ZCTA5 61014,1325,53333,1286,0,0.3436,63.4,0.9,6.0
402,61015,ZCTA5 61015,809,79318,808,0,0.3726,58.6,0.0,9.7
403,61016,ZCTA5 61016,4764,68828,4254,133,0.3676,66.1,9.6,5.2
404,61018,ZCTA5 61018,1095,50893,1049,3,0.3593,66.2,0.0,4.5
