GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
310M300US10100,10100,"Aberdeen, SD Micro Area",0.4505,0.0267
310M300US10140,10140,"Aberdeen, WA Micro Area",0.4403,0.0156
310M300US10180,10180,"Abilene, TX Metro Area",0.4612,0.0098
310M300US10220,10220,"Ada, OK Micro Area",0.4434,0.0170
310M300US10260,10260,"Adjuntas, PR Micro Area",0.5704,0.0301
310M300US10300,10300,"Adrian, MI Micro Area",0.4149,0.0129
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",0.5194,0.0085
310M300US10420,10420,"Akron, OH Metro Area",0.4656,0.0052
310M300US10460,10460,"Alamogordo, NM Micro Area",0.4454,0.0277
310M300US10500,10500,"Albany, GA Metro Area",0.4825,0.0088
310M300US10540,10540,"Albany, OR Metro Area",0.4260,0.0157
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",0.4430,0.0040
310M300US10620,10620,"Albemarle, NC Micro Area",0.4248,0.0147
310M300US10660,10660,"Albert Lea, MN Micro Area",0.4159,0.0130
310M300US10700,10700,"Albertville, AL Micro Area",0.4816,0.0128
310M300US10740,10740,"Albuquerque, NM Metro Area",0.4641,0.0039
310M300US10760,10760,"Alexander City, AL Micro Area",0.4536,0.0156
310M300US10780,10780,"Alexandria, LA Metro Area",0.4753,0.0115
310M300US10820,10820,"Alexandria, MN Micro Area",0.4440,0.0227
310M300US10860,10860,"Alice, TX Micro Area",0.4879,0.0392
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.4428,0.0049
310M300US10940,10940,"Alma, MI Micro Area",0.4700,0.0159
310M300US10980,10980,"Alpena, MI Micro Area",0.4296,0.0123
310M300US11020,11020,"Altoona, PA Metro Area",0.4439,0.0110
310M300US11060,11060,"Altus, OK Micro Area",0.4394,0.0191
310M300US11100,11100,"Amarillo, TX Metro Area",0.4593,0.0091
310M300US11140,11140,"Americus, GA Micro Area",0.4800,0.0188
310M300US11180,11180,"Ames, IA Metro Area",0.4677,0.0101
310M300US11220,11220,"Amsterdam, NY Micro Area",0.4542,0.0136
310M300US11260,11260,"Anchorage, AK Metro Area",0.4184,0.0067
310M300US11380,11380,"Andrews, TX Micro Area",0.4540,0.0490
310M300US11420,11420,"Angola, IN Micro Area",0.3960,0.0170
310M300US11460,11460,"Ann Arbor, MI Metro Area",0.4785,0.0056
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",0.4629,0.0153
310M300US11540,11540,"Appleton, WI Metro Area",0.4055,0.0087
310M300US11580,11580,"Arcadia, FL Micro Area",0.4486,0.0300
310M300US11620,11620,"Ardmore, OK Micro Area",0.4669,0.0222
310M300US11640,11640,"Arecibo, PR Metro Area",0.5185,0.0119
310M300US11660,11660,"Arkadelphia, AR Micro Area",0.4510,0.0176
