GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M300US15340,15340,"Bucyrus, OH Micro Area",42231,*****,40916,96,367,123,25,18,173,66,9,17,111,103,630,147,3,5,627,148
310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1136670,*****,907751,1199,139418,1045,6775,441,34065,736,368,94,21778,1316,26515,1549,4462,599,22053,1408
310M300US15420,15420,"Burley, ID Micro Area",43920,*****,41399,345,75,55,364,145,216,68,44,40,1218,330,604,151,66,53,538,153
310M300US15460,15460,"Burlington, IA-IL Micro Area",46803,*****,42836,94,2424,221,87,71,301,121,0,24,122,68,1033,273,35,37,998,264
310M300US15500,15500,"Burlington, NC Metro Area",157844,*****,111229,1197,29972,409,551,192,2378,216,67,23,9594,1250,4053,623,684,265,3369,513
310M300US15540,15540,"Burlington-South Burlington, VT Metro Area",216751,*****,199290,281,4523,266,815,225,6331,356,72,58,1128,300,4592,468,204,76,4388,452
310M300US15580,15580,"Butte-Silver Bow, MT Micro Area",34514,*****,32579,158,185,54,791,231,287,77,0,21,183,138,489,242,2,6,487,242
310M300US15620,15620,"Cadillac, MI Micro Area",47897,*****,46079,88,304,67,269,93,269,37,7,6,90,41,879,137,54,40,825,131
310M300US15660,15660,"Calhoun, GA Micro Area",56424,*****,50879,771,2298,202,472,550,636,83,10,15,1253,581,876,252,46,56,830,236
310M300US15680,15680,"California-Lexington Park, MD Metro Area",110979,*****,87485,356,15922,412,220,142,3079,221,28,27,684,258,3561,539,90,91,3471,520
310M300US15700,15700,"Cambridge, MD Micro Area",32386,*****,21345,217,8901,268,27,31,325,76,0,25,554,240,1234,338,76,70,1158,328
310M300US15740,15740,"Cambridge, OH Micro Area",39414,*****,37713,118,494,137,80,42,129,43,0,24,138,118,860,145,4,6,856,147
