GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
310M300US10100,10100,"Aberdeen, SD Micro Area",54533,2641
310M300US10140,10140,"Aberdeen, WA Micro Area",45483,2355
310M300US10180,10180,"Abilene, TX Metro Area",48156,1831
310M300US10220,10220,"Ada, OK Micro Area",46689,2453
310M300US10260,10260,"Adjuntas, PR Micro Area",11680,1168
310M300US10300,10300,"Adrian, MI Micro Area",51339,1406
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",15769,450
310M300US10420,10420,"Akron, OH Metro Area",53418,632
310M300US10460,10460,"Alamogordo, NM Micro Area",43533,1693
310M300US10500,10500,"Albany, GA Metro Area",40612,1238
310M300US10540,10540,"Albany, OR Metro Area",49515,1904
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",65743,762
310M300US10620,10620,"Albemarle, NC Micro Area",46017,2247
310M300US10660,10660,"Albert Lea, MN Micro Area",51174,1600
310M300US10700,10700,"Albertville, AL Micro Area",41104,1311
310M300US10740,10740,"Albuquerque, NM Metro Area",50781,609
310M300US10760,10760,"Alexander City, AL Micro Area",42181,2590
310M300US10780,10780,"Alexandria, LA Metro Area",42275,1374
310M300US10820,10820,"Alexandria, MN Micro Area",58667,2623
310M300US10860,10860,"Alice, TX Micro Area",41103,3613
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",62479,652
310M300US10940,10940,"Alma, MI Micro Area",42256,1399
310M300US10980,10980,"Alpena, MI Micro Area",40954,1521
310M300US11020,11020,"Altoona, PA Metro Area",45664,1034
310M300US11060,11060,"Altus, OK Micro Area",45189,2555
310M300US11100,11100,"Amarillo, TX Metro Area",53665,929
310M300US11140,11140,"Americus, GA Micro Area",35189,2376
310M300US11180,11180,"Ames, IA Metro Area",52671,2162
310M300US11220,11220,"Amsterdam, NY Micro Area",47449,2192
310M300US11260,11260,"Anchorage, AK Metro Area",80724,1201
310M300US11380,11380,"Andrews, TX Micro Area",70753,6115
310M300US11420,11420,"Angola, IN Micro Area",52749,2174
310M300US11460,11460,"Ann Arbor, MI Metro Area",65618,1092
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",43686,1491
310M300US11540,11540,"Appleton, WI Metro Area",63415,1305
310M300US11580,11580,"Arcadia, FL Micro Area",35435,1717
310M300US11620,11620,"Ardmore, OK Micro Area",47754,1702
310M300US11640,11640,"Arecibo, PR Metro Area",17298,607
310M300US11660,11660,"Arkadelphia, AR Micro Area",37144,2739
310M300US11680,11680,"Arkansas City-Winfield, KS Micro Area",46624,2505
310M300US11700,11700,"Asheville, NC Metro Area",48159,874
310M300US11740,11740,"Ashland, OH Micro Area",50893,1608
310M300US11780,11780,"Ashtabula, OH Micro Area",43017,1597
310M300US11820,11820,"Astoria, OR Micro Area",49828,1932
310M300US11860,11860,"Atchison, KS Micro Area",46640,4084
310M300US11900,11900,"Athens, OH Micro Area",37191,2008
310M300US11940,11940,"Athens, TN Micro Area",39990,2047
310M300US11980,11980,"Athens, TX Micro Area",44888,1447
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",42418,999
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",61733,378
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",57514,1710
310M300US12120,12120,"Atmore, AL Micro Area",35026,2265
310M300US12140,12140,"Auburn, IN Micro Area",51374,2180
310M300US12180,12180,"Auburn, NY Micro Area",54664,1603
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",47564,1712
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",49064,1113
310M300US12300,12300,"Augusta-Waterville, ME Micro Area",50116,1664
310M300US12380,12380,"Austin, MN Micro Area",53700,2339
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",69717,545
310M300US12460,12460,"Bainbridge, GA Micro Area",36934,3234
310M300US12540,12540,"Bakersfield, CA Metro Area",50826,771
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",75646,633
310M300US12620,12620,"Bangor, ME Metro Area",47886,1189
310M300US12660,12660,"Baraboo, WI Micro Area",54447,1543
310M300US12680,12680,"Bardstown, KY Micro Area",55182,2157
310M300US12700,12700,"Barnstable Town, MA Metro Area",68048,1279
310M300US12740,12740,"Barre, VT Micro Area",60602,2838
310M300US12780,12780,"Bartlesville, OK Micro Area",50388,1871
310M300US12820,12820,"Bastrop, LA Micro Area",31672,1947
310M300US12860,12860,"Batavia, NY Micro Area",54033,1511
310M300US12900,12900,"Batesville, AR Micro Area",39945,2414
310M300US12940,12940,"Baton Rouge, LA Metro Area",55329,974
310M300US12980,12980,"Battle Creek, MI Metro Area",46213,1008
310M300US13020,13020,"Bay City, MI Metro Area",45983,1430
310M300US13060,13060,"Bay City, TX Micro Area",44896,4175
310M300US13100,13100,"Beatrice, NE Micro Area",52223,2284
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",48962,1066
310M300US13180,13180,"Beaver Dam, WI Micro Area",56038,1504
310M300US13220,13220,"Beckley, WV Metro Area",41141,1407
310M300US13260,13260,"Bedford, IN Micro Area",49985,2106
310M300US13300,13300,"Beeville, TX Micro Area",45415,4540
310M300US13340,13340,"Bellefontaine, OH Micro Area",53051,1732
310M300US13380,13380,"Bellingham, WA Metro Area",56419,1506
310M300US13420,13420,"Bemidji, MN Micro Area",45923,1753
310M300US13460,13460,"Bend-Redmond, OR Metro Area",59152,2132
310M300US13500,13500,"Bennettsville, SC Micro Area",33921,1434
310M300US13540,13540,"Bennington, VT Micro Area",52251,3311
310M300US13620,13620,"Berlin, NH-VT Micro Area",44120,1907
310M300US13660,13660,"Big Rapids, MI Micro Area",43470,1558
310M300US13700,13700,"Big Spring, TX Micro Area",51084,2142
310M300US13720,13720,"Big Stone Gap, VA Micro Area",34542,1684
310M300US13740,13740,"Billings, MT Metro Area",57812,1118
310M300US13780,13780,"Binghamton, NY Metro Area",50673,824
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",52088,484
310M300US13900,13900,"Bismarck, ND Metro Area",66467,1584
310M300US13940,13940,"Blackfoot, ID Micro Area",51307,2748
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",50409,1245
310M300US14010,14010,"Bloomington, IL Metro Area",63333,1551
310M300US14020,14020,"Bloomington, IN Metro Area",46146,1540
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",49968,1414
310M300US14140,14140,"Bluefield, WV-VA Micro Area",39073,1455
310M300US14180,14180,"Blytheville, AR Micro Area",36417,1718
310M300US14220,14220,"Bogalusa, LA Micro Area",32962,3070
310M300US14260,14260,"Boise City, ID Metro Area",54120,940
310M300US14300,14300,"Bonham, TX Micro Area",47875,2798
310M300US14340,14340,"Boone, IA Micro Area",57906,3321
310M300US14380,14380,"Boone, NC Micro Area",41541,1476
310M300US14420,14420,"Borger, TX Micro Area",50035,4099
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",81838,480
310M300US14500,14500,"Boulder, CO Metro Area",75669,1234
310M300US14540,14540,"Bowling Green, KY Metro Area",46716,1172
310M300US14580,14580,"Bozeman, MT Micro Area",59397,1808
310M300US14620,14620,"Bradford, PA Micro Area",45866,1426
310M300US14660,14660,"Brainerd, MN Micro Area",52126,952
310M300US14700,14700,"Branson, MO Micro Area",41135,1377
310M300US14720,14720,"Breckenridge, CO Micro Area",73538,3671
310M300US14740,14740,"Bremerton-Silverdale, WA Metro Area",68336,1336
310M300US14780,14780,"Brenham, TX Micro Area",55793,4336
310M300US14820,14820,"Brevard, NC Micro Area",44559,3059
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",89773,1202
310M300US15020,15020,"Brookhaven, MS Micro Area",37308,4064
310M300US15060,15060,"Brookings, OR Micro Area",42519,6221
310M300US15100,15100,"Brookings, SD Micro Area",53473,2404
310M300US15140,15140,"Brownsville, TN Micro Area",36118,1856
310M300US15180,15180,"Brownsville-Harlingen, TX Metro Area",36095,962
310M300US15220,15220,"Brownwood, TX Micro Area",43062,1925
310M300US15260,15260,"Brunswick, GA Metro Area",44887,1878
310M300US15340,15340,"Bucyrus, OH Micro Area",41726,1070
310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",53534,522
310M300US15420,15420,"Burley, ID Micro Area",48095,1697
310M300US15460,15460,"Burlington, IA-IL Micro Area",47511,1509
310M300US15500,15500,"Burlington, NC Metro Area",44281,1192
310M300US15540,15540,"Burlington-South Burlington, VT Metro Area",65476,1517
310M300US15580,15580,"Butte-Silver Bow, MT Micro Area",40480,2706
310M300US15620,15620,"Cadillac, MI Micro Area",42631,1316
310M300US15660,15660,"Calhoun, GA Micro Area",43452,2229
310M300US15680,15680,"California-Lexington Park, MD Metro Area",86508,3942
310M300US15700,15700,"Cambridge, MD Micro Area",50532,3733
310M300US15740,15740,"Cambridge, OH Micro Area",42744,2537
310M300US15780,15780,"Camden, AR Micro Area",33107,2720
310M300US15820,15820,"Campbellsville, KY Micro Area",36455,2861
310M300US15860,15860,"Cañon City, CO Micro Area",44712,1951
310M300US15900,15900,"Canton, IL Micro Area",48599,1862
310M300US15940,15940,"Canton-Massillon, OH Metro Area",50217,787
310M300US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",52052,572
310M300US16020,16020,"Cape Girardeau, MO-IL Metro Area",46872,1954
310M300US16060,16060,"Carbondale-Marion, IL Metro Area",42407,1345
310M300US16100,16100,"Carlsbad-Artesia, NM Micro Area",60703,3524
310M300US16140,16140,"Carroll, IA Micro Area",54563,2886
310M300US16180,16180,"Carson City, NV Metro Area",49341,2023
310M300US16220,16220,"Casper, WY Metro Area",59400,2542
310M300US16260,16260,"Cedar City, UT Micro Area",45422,3795
310M300US16300,16300,"Cedar Rapids, IA Metro Area",62399,1227
310M300US16340,16340,"Cedartown, GA Micro Area",40652,2098
310M300US16380,16380,"Celina, OH Micro Area",57052,2526
310M300US16420,16420,"Central City, KY Micro Area",40037,2245
310M300US16460,16460,"Centralia, IL Micro Area",44679,2207
310M300US16500,16500,"Centralia, WA Micro Area",46387,1943
310M300US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",58267,1638
310M300US16580,16580,"Champaign-Urbana, IL Metro Area",50720,1104
310M300US16620,16620,"Charleston, WV Metro Area",45155,1244
310M300US16660,16660,"Charleston-Mattoon, IL Micro Area",43253,1885
310M300US16700,16700,"Charleston-North Charleston, SC Metro Area",57666,811
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",57871,485
310M300US16820,16820,"Charlottesville, VA Metro Area",63486,1379
310M300US16860,16860,"Chattanooga, TN-GA Metro Area",49471,908
310M300US16940,16940,"Cheyenne, WY Metro Area",62879,1820
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",65757,275
310M300US17020,17020,"Chico, CA Metro Area",46516,1130
310M300US17060,17060,"Chillicothe, OH Micro Area",45792,2053
310M300US17140,17140,"Cincinnati, OH-KY-IN Metro Area",59478,436
310M300US17200,17200,"Claremont-Lebanon, NH-VT Micro Area",58777,1419
310M300US17220,17220,"Clarksburg, WV Micro Area",47546,1534
310M300US17260,17260,"Clarksdale, MS Micro Area",28728,2702
310M300US17300,17300,"Clarksville, TN-KY Metro Area",50369,844
310M300US17340,17340,"Clearlake, CA Micro Area",40446,2857
310M300US17380,17380,"Cleveland, MS Micro Area",28468,2121
310M300US17420,17420,"Cleveland, TN Metro Area",45570,1843
310M300US17460,17460,"Cleveland-Elyria, OH Metro Area",52446,341
310M300US17500,17500,"Clewiston, FL Micro Area",37966,2224
310M300US17540,17540,"Clinton, IA Micro Area",50295,2832
310M300US17580,17580,"Clovis, NM Micro Area",41941,1840
310M300US17620,17620,"Coamo, PR Micro Area",19110,2063
310M300US17640,17640,"Coco, PR Micro Area",16246,1471
310M300US17660,17660,"Coeur d'Alene, ID Metro Area",53189,1643
310M300US17700,17700,"Coffeyville, KS Micro Area",43977,2660
310M300US17740,17740,"Coldwater, MI Micro Area",48192,1961
310M300US17780,17780,"College Station-Bryan, TX Metro Area",45078,1686
310M300US17820,17820,"Colorado Springs, CO Metro Area",62751,883
310M300US17860,17860,"Columbia, MO Metro Area",52005,1208
310M300US17900,17900,"Columbia, SC Metro Area",52728,624
310M300US17980,17980,"Columbus, GA-AL Metro Area",44209,1074
310M300US18020,18020,"Columbus, IN Metro Area",57331,2560
310M300US18060,18060,"Columbus, MS Micro Area",43198,2630
310M300US18100,18100,"Columbus, NE Micro Area",58679,2906
310M300US18140,18140,"Columbus, OH Metro Area",60170,429
310M300US18180,18180,"Concord, NH Micro Area",69856,1417
310M300US18220,18220,"Connersville, IN Micro Area",41476,2097
310M300US18260,18260,"Cookeville, TN Micro Area",36898,1361
310M300US18300,18300,"Coos Bay, OR Micro Area",40848,1581
310M300US18380,18380,"Cordele, GA Micro Area",33194,3700
310M300US18420,18420,"Corinth, MS Micro Area",38919,1799
310M300US18460,18460,"Cornelia, GA Micro Area",44474,1781
310M300US18500,18500,"Corning, NY Micro Area",50157,1301
310M300US18580,18580,"Corpus Christi, TX Metro Area",52883,761
310M300US18620,18620,"Corsicana, TX Micro Area",45103,2407
310M300US18660,18660,"Cortland, NY Micro Area",52451,2006
310M300US18700,18700,"Corvallis, OR Metro Area",54682,2361
310M300US18740,18740,"Coshocton, OH Micro Area",43251,2607
