GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
8600000US60002,60002,ZCTA5 60002,0.4109,0.0239
8600000US60004,60004,ZCTA5 60004,0.4213,0.0142
8600000US60005,60005,ZCTA5 60005,0.4696,0.0277
8600000US60007,60007,ZCTA5 60007,0.3977,0.0234
8600000US60008,60008,ZCTA5 60008,0.4119,0.0217
8600000US60010,60010,ZCTA5 60010,0.4845,0.0162
8600000US60012,60012,ZCTA5 60012,0.3968,0.0290
8600000US60013,60013,ZCTA5 60013,0.3848,0.0194
8600000US60014,60014,ZCTA5 60014,0.4032,0.0185
8600000US60015,60015,ZCTA5 60015,0.4649,0.0169
8600000US60016,60016,ZCTA5 60016,0.4140,0.0141
8600000US60018,60018,ZCTA5 60018,0.4151,0.0170
8600000US60020,60020,ZCTA5 60020,0.4336,0.0443
8600000US60021,60021,ZCTA5 60021,0.4366,0.0361
8600000US60022,60022,ZCTA5 60022,0.5236,0.0256
8600000US60025,60025,ZCTA5 60025,0.5016,0.0143
8600000US60026,60026,ZCTA5 60026,0.5358,0.0289
8600000US60029,60029,ZCTA5 60029,0.3687,0.0532
8600000US60030,60030,ZCTA5 60030,0.4110,0.0162
8600000US60031,60031,ZCTA5 60031,0.4153,0.0197
8600000US60033,60033,ZCTA5 60033,0.3837,0.0258
8600000US60034,60034,ZCTA5 60034,0.4206,0.0659
8600000US60035,60035,ZCTA5 60035,0.5314,0.0187
8600000US60040,60040,ZCTA5 60040,0.5588,0.0782
8600000US60041,60041,ZCTA5 60041,0.3700,0.0299
8600000US60042,60042,ZCTA5 60042,0.3447,0.0240
8600000US60043,60043,ZCTA5 60043,0.4971,0.0340
8600000US60044,60044,ZCTA5 60044,0.4868,0.0244
8600000US60045,60045,ZCTA5 60045,0.5165,0.0204
8600000US60046,60046,ZCTA5 60046,0.3681,0.0156
8600000US60047,60047,ZCTA5 60047,0.4202,0.0178
8600000US60048,60048,ZCTA5 60048,0.4491,0.0127
8600000US60050,60050,ZCTA5 60050,0.4075,0.0226
8600000US60051,60051,ZCTA5 60051,0.3698,0.0173
8600000US60053,60053,ZCTA5 60053,0.4126,0.0280
8600000US60056,60056,ZCTA5 60056,0.4372,0.0179
8600000US60060,60060,ZCTA5 60060,0.4113,0.0222
8600000US60061,60061,ZCTA5 60061,0.4431,0.0214
8600000US60062,60062,ZCTA5 60062,0.4918,0.0143
8600000US60064,60064,ZCTA5 60064,0.4699,0.0371
8600000US60067,60067,ZCTA5 60067,0.4634,0.0208
8600000US60068,60068,ZCTA5 60068,0.4576,0.0146
8600000US60069,60069,ZCTA5 60069,0.4788,0.0234
8600000US60070,60070,ZCTA5 60070,0.4462,0.0271
8600000US60071,60071,ZCTA5 60071,0.4344,0.0292
8600000US60072,60072,ZCTA5 60072,0.3366,0.0429
8600000US60073,60073,ZCTA5 60073,0.3637,0.0153
8600000US60074,60074,ZCTA5 60074,0.4382,0.0405
8600000US60076,60076,ZCTA5 60076,0.4570,0.0287
8600000US60077,60077,ZCTA5 60077,0.4555,0.0259
8600000US60081,60081,ZCTA5 60081,0.3807,0.0294
8600000US60083,60083,ZCTA5 60083,0.3839,0.0327
8600000US60084,60084,ZCTA5 60084,0.4276,0.0295
8600000US60085,60085,ZCTA5 60085,0.4311,0.0144
8600000US60087,60087,ZCTA5 60087,0.3914,0.0272
8600000US60088,60088,ZCTA5 60088,0.3441,0.0521
8600000US60089,60089,ZCTA5 60089,0.4173,0.0169
8600000US60090,60090,ZCTA5 60090,0.4177,0.0153
8600000US60091,60091,ZCTA5 60091,0.5079,0.0125
8600000US60093,60093,ZCTA5 60093,0.5434,0.0190
8600000US60096,60096,ZCTA5 60096,0.3750,0.0326
