GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US60002,60002,ZCTA5 60002,24217,322
8600000US60004,60004,ZCTA5 60004,50941,871
8600000US60005,60005,ZCTA5 60005,30148,977
8600000US60007,60007,ZCTA5 60007,33691,191
8600000US60008,60008,ZCTA5 60008,21930,566
8600000US60010,60010,ZCTA5 60010,45680,770
8600000US60012,60012,ZCTA5 60012,10653,552
8600000US60013,60013,ZCTA5 60013,26166,591
8600000US60014,60014,ZCTA5 60014,48553,935
8600000US60015,60015,ZCTA5 60015,27357,421
8600000US60016,60016,ZCTA5 60016,59255,893
8600000US60018,60018,ZCTA5 60018,30955,996
8600000US60020,60020,ZCTA5 60020,9761,522
8600000US60021,60021,ZCTA5 60021,5547,314
8600000US60022,60022,ZCTA5 60022,8563,115
8600000US60025,60025,ZCTA5 60025,41054,948
8600000US60026,60026,ZCTA5 60026,14297,762
8600000US60029,60029,ZCTA5 60029,521,99
8600000US60030,60030,ZCTA5 60030,37185,771
8600000US60031,60031,ZCTA5 60031,37525,501
8600000US60033,60033,ZCTA5 60033,13596,393
8600000US60034,60034,ZCTA5 60034,2084,306
8600000US60035,60035,ZCTA5 60035,29803,45
8600000US60040,60040,ZCTA5 60040,5375,23
8600000US60041,60041,ZCTA5 60041,8772,576
8600000US60042,60042,ZCTA5 60042,8390,166
8600000US60043,60043,ZCTA5 60043,2547,153
8600000US60044,60044,ZCTA5 60044,9849,249
8600000US60045,60045,ZCTA5 60045,20807,412
8600000US60046,60046,ZCTA5 60046,34918,515
8600000US60047,60047,ZCTA5 60047,42598,538
8600000US60048,60048,ZCTA5 60048,29012,425
8600000US60050,60050,ZCTA5 60050,32797,611
8600000US60051,60051,ZCTA5 60051,23624,830
8600000US60053,60053,ZCTA5 60053,23391,46
8600000US60056,60056,ZCTA5 60056,55221,427
8600000US60060,60060,ZCTA5 60060,37218,750
8600000US60061,60061,ZCTA5 60061,27013,295
8600000US60062,60062,ZCTA5 60062,40358,552
8600000US60064,60064,ZCTA5 60064,15816,565
8600000US60067,60067,ZCTA5 60067,37817,990
8600000US60068,60068,ZCTA5 60068,37810,312
8600000US60069,60069,ZCTA5 60069,7987,414
8600000US60070,60070,ZCTA5 60070,16185,122
8600000US60071,60071,ZCTA5 60071,3592,186
8600000US60072,60072,ZCTA5 60072,979,236
8600000US60073,60073,ZCTA5 60073,61774,670
8600000US60074,60074,ZCTA5 60074,39812,891
8600000US60076,60076,ZCTA5 60076,32093,1055
8600000US60077,60077,ZCTA5 60077,28470,1088
8600000US60081,60081,ZCTA5 60081,9838,409
8600000US60083,60083,ZCTA5 60083,10413,665
8600000US60084,60084,ZCTA5 60084,16832,605
8600000US60085,60085,ZCTA5 60085,71548,1282
8600000US60087,60087,ZCTA5 60087,26216,1506
8600000US60088,60088,ZCTA5 60088,12676,561
8600000US60089,60089,ZCTA5 60089,41601,124
8600000US60090,60090,ZCTA5 60090,38309,85
8600000US60091,60091,ZCTA5 60091,27335,98
8600000US60093,60093,ZCTA5 60093,19404,360
8600000US60096,60096,ZCTA5 60096,7009,246
8600000US60097,60097,ZCTA5 60097,10447,606
8600000US60098,60098,ZCTA5 60098,32941,791
8600000US60099,60099,ZCTA5 60099,30961,709
8600000US60101,60101,ZCTA5 60101,39405,484
8600000US60102,60102,ZCTA5 60102,32958,427
8600000US60103,60103,ZCTA5 60103,42409,370
8600000US60104,60104,ZCTA5 60104,19031,172
8600000US60106,60106,ZCTA5 60106,20300,342
8600000US60107,60107,ZCTA5 60107,40967,640
8600000US60108,60108,ZCTA5 60108,22851,261
8600000US60109,60109,ZCTA5 60109,635,163
8600000US60110,60110,ZCTA5 60110,39380,396
8600000US60111,60111,ZCTA5 60111,183,65
8600000US60112,60112,ZCTA5 60112,4416,299
8600000US60113,60113,ZCTA5 60113,353,94
8600000US60115,60115,ZCTA5 60115,45644,441
8600000US60118,60118,ZCTA5 60118,15831,408
8600000US60119,60119,ZCTA5 60119,10192,651
8600000US60120,60120,ZCTA5 60120,51244,1183
8600000US60123,60123,ZCTA5 60123,48177,1317
8600000US60124,60124,ZCTA5 60124,21739,1218
8600000US60126,60126,ZCTA5 60126,48269,350
8600000US60129,60129,ZCTA5 60129,214,85
8600000US60130,60130,ZCTA5 60130,14127,33
8600000US60131,60131,ZCTA5 60131,18070,129
8600000US60133,60133,ZCTA5 60133,38479,83
8600000US60134,60134,ZCTA5 60134,29279,540
8600000US60135,60135,ZCTA5 60135,6723,589
8600000US60136,60136,ZCTA5 60136,7638,139
8600000US60137,60137,ZCTA5 60137,38280,525
8600000US60139,60139,ZCTA5 60139,34547,134
8600000US60140,60140,ZCTA5 60140,16707,698
8600000US60141,60141,ZCTA5 60141,209,83
8600000US60142,60142,ZCTA5 60142,27886,681
